mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta_delta1,delta_delta2,delta_delta3,delta_delta4,delta_delta5,delta_delta6,delta_delta7,delta_delta8,delta_delta9,delta_delta10,delta_delta11,delta_delta12,delta_delta13,username
-493.4422,84.301285,15.963787,49.77087,8.619368,-2.222873,-7.824191,-5.495497,2.053846,-3.836908,0.033505,-0.632838,-3.340946,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.000388,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,-0.002144,Tim31
-606.394592,101.600723,27.539816,52.622189,20.304598,7.823278,-4.281286,-1.69307,2.373741,-1.874234,-0.944295,-2.090845,-4.636851,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,-0.003287,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,0.00121,Tim31
-482.498932,96.722481,-5.857527,35.519241,5.383439,2.866779,-10.383438,-0.009823,5.383055,1.732997,2.468249,0.292589,2.687303,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.001976,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,-0.004104,Tim31
-468.370758,112.370377,-2.087537,34.210724,3.331406,-0.473578,-10.362291,-2.311462,-2.198833,-2.216114,0.078352,-2.978406,1.926641,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,-0.002374,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,0.001354,Tim31
-544.578613,101.755043,13.922444,40.302399,19.72361,4.615999,-5.056523,3.410738,-7.219986,-1.110357,-2.320739,-6.169141,0.602785,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.002543,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,0.000061,Tim31
-513.100586,99.720116,-0.661782,36.127827,4.996209,2.295095,-9.626244,-1.367842,2.628611,0.285901,2.978254,-1.360175,1.393723,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.001792,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,-0.000616,Tim31
-568.733215,97.30825,22.441235,48.129089,14.630796,5.476084,-2.936481,-5.745764,0.109957,0.962092,-2.780265,-0.234021,-1.809743,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.001951,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,-0.000384,Tim31
-528.927734,95.087303,-1.003082,37.237026,8.867609,7.192319,-6.226503,0.481211,4.226662,2.450465,2.956842,-0.821581,2.894963,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.00213,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,0.002599,Tim31
-534.829285,98.453056,20.442354,45.696346,10.462369,3.208844,-6.333436,-8.916256,-1.917526,-2.045389,-2.642479,-1.921687,-6.277075,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,-0.000173,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,0.002089,Tim31
-475.466339,84.15741,18.524191,50.020119,8.768294,1.406796,-10.386927,-11.907706,0.167299,-1.766029,-2.449364,-2.4313,-6.536835,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,0.000351,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,-0.001598,Tim31
