mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,delta_delta1,delta_delta2,delta_delta3,delta_delta4,delta_delta5,delta_delta6,delta_delta7,delta_delta8,delta_delta9,delta_delta10,delta_delta11,delta_delta12,delta_delta13,username
-511.271271,109.955116,2.43688,27.070511,10.216396,3.914636,-8.38586,-2.396266,6.054299,2.012022,2.398657,3.009223,1.691108,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,0.001212,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,-0.000503,Tim31
-487.884918,101.912415,-2.415924,31.478222,6.77162,2.052897,-10.014273,-0.306672,3.221658,2.481826,1.382664,-1.315165,2.424274,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,0.000787,Tim31
-538.593811,112.857376,16.805233,44.458931,11.463914,2.201873,-3.356509,-9.794326,-3.71617,1.560794,-6.091857,-2.30248,-1.660302,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,0.003806,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,-0.005209,Tim31
-510.143646,98.570175,15.663132,43.348919,9.000704,1.306101,-7.60568,-7.95597,-3.128418,-2.64235,-1.669748,-3.818175,-6.073158,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.001553,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,0.000997,Tim31
-485.503784,106.145096,1.952206,36.506428,1.559102,-1.440643,-10.317482,0.191369,0.893518,0.730172,1.61859,-0.159685,0.361616,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,-0.002898,Tim31
-437.457611,95.245758,-2.126346,25.648233,0.72499,-5.653418,-4.708626,-10.840987,-9.16259,-0.157322,-5.934557,-6.297682,-3.764189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.009189,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,-0.000225,Tim31
-485.440704,104.775269,-6.552222,36.736702,5.654254,-1.298447,-9.765112,-2.81735,5.356238,0.940533,1.448824,1.795774,1.561599,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,0.004118,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,-0.001485,Tim31
-527.652283,101.454971,18.035448,40.805328,13.978139,3.611802,-7.421207,-3.326286,-0.390068,-1.69426,-1.017086,-2.631962,-2.136859,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.011119,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,-0.004366,Tim31
-514.37384,87.853973,16.419718,34.238136,4.365016,6.052635,-5.953594,-7.348727,-5.049788,-0.998849,-2.885715,-5.951042,-3.823186,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000436,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,-0.000391,Tim31
-461.456116,114.941025,-4.406601,27.319511,0.73212,-1.095307,-13.272836,-3.073762,2.051651,1.107942,0.67216,-1.276567,0.228345,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.001099,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,-0.002423,Tim31
-463.57193,105.865868,-1.544249,45.906658,8.606049,-6.521025,-3.704274,-11.82401,-10.908113,-2.894839,-6.73539,-9.56249,-3.722025,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.012036,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,0.000758,Tim31
-494.559509,101.609955,-2.448824,36.086933,5.934318,1.873468,-11.80427,-2.181662,5.109753,0.130529,0.991859,0.479066,1.935314,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,0.000434,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,-0.00065,Tim31
-511.555664,108.552658,16.622795,43.35659,10.308076,0.68047,-6.516731,-7.593389,-4.051355,0.36243,-3.300562,-2.30843,-7.870621,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,0.003946,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,-0.000126,Tim31
-546.375061,97.48632,16.698202,43.93763,19.815386,1.890758,-5.340832,-5.053578,-0.561998,-6.386851,-3.884124,-0.857886,-1.187898,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.017567,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,0.000384,Tim31
-457.993011,102.394096,-2.178427,33.486443,3.420518,0.337944,-13.411257,-2.352779,0.413739,-1.964095,0.796633,-2.225234,1.064369,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,0.001577,Tim31
-491.543488,109.649101,-0.39665,40.556004,9.342721,-0.82438,-8.729821,-2.231902,0.870461,-2.796481,1.476701,0.527845,0.887785,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001811,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,0.001606,Tim31
-559.19812,96.270302,18.465807,47.236507,13.599501,6.281435,-0.931372,-3.424155,-1.435343,-2.997351,0.957202,-6.07711,1.405338,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,0.001578,Tim31
-517.53064,103.178772,-3.882239,34.02948,4.82463,6.71057,-6.658356,-0.014637,3.682036,2.994307,3.036865,-0.148958,3.687073,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.000921,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,-0.002862,Tim31
-550.160034,95.980858,21.613855,45.587242,14.109682,5.063113,-5.560503,-2.634293,3.535178,-4.176365,3.122357,-4.251107,-3.959105,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00109,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,0.00161,Tim31
-537.296875,78.345802,25.759754,52.692493,18.235155,4.633511,-8.784574,-6.995015,5.255831,-3.144108,-4.118499,2.49749,-2.563593,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.007836,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,-0.00313,Tim31
-578.181213,100.184425,21.176876,44.958817,13.462842,8.40416,-0.827401,-7.379434,-0.550699,-0.073687,-1.766106,-1.45089,-1.926208,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,-0.001408,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,0.001787,Tim31
-494.70871,100.071213,-4.385309,27.195189,6.048379,6.167114,-9.518622,-2.331955,4.747694,2.275873,4.543952,0.635129,3.667509,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,-0.001572,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,0.000386,Tim31
-555.855774,89.599602,26.753004,55.987061,15.772493,5.636691,-7.885882,-9.39136,-4.106711,-2.853346,-4.667787,-6.638287,-3.155286,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.001772,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,0.000132,Tim31
-594.013733,96.762077,22.341513,43.434383,14.154016,9.397711,1.242169,-0.347863,1.157085,1.932937,-0.915901,-1.342494,0.765952,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,-0.003668,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,0.00016,Tim31
-516.099121,102.236824,2.159514,29.238735,8.683809,4.290358,-6.466685,-1.360348,2.208216,2.360696,2.874125,-0.550613,3.504355,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,0.001884,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,-0.000444,Tim31
-491.482178,96.494247,-1.026127,39.894836,0.531793,1.77082,-9.337187,-1.651467,2.836559,-0.900815,2.539321,0.598181,-0.171072,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.00318,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,-0.000563,Tim31
-583.478638,102.71846,19.83737,43.913403,19.141954,9.677047,-2.289889,1.822409,-4.638751,2.520069,-0.471886,-4.206683,1.203456,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.003298,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,-0.000217,Tim31
-524.619995,105.321609,9.092488,32.650589,6.210251,2.644377,-3.838305,-0.546693,0.907142,-2.11092,3.155511,2.843476,1.498582,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,-0.003968,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,0.001193,Tim31
-556.243591,102.598831,22.71188,49.322872,16.590706,3.33389,-3.360617,-3.825207,-1.480027,-2.336067,-2.58648,-3.082447,-2.496993,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000676,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,0.000942,Tim31
-549.348145,89.148766,31.631208,47.85294,9.863322,-0.498084,0.989266,-9.007737,-3.364073,-1.487783,-3.057634,-6.049942,2.611913,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,0.033935,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,-0.011601,Tim31
-477.719391,110.769852,-1.566895,32.64188,5.692385,2.923847,-10.757825,-3.295089,-0.437739,-0.339564,0.88309,-3.122901,2.512835,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.000689,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,-0.002826,Tim31
-562.679199,89.936356,26.251907,45.602551,14.428294,6.670881,-7.48204,-6.020813,0.986695,-1.222134,-1.668503,-3.145578,0.187351,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,0.00763,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,-0.00199,Tim31
-597.353821,96.012314,27.948793,52.932911,18.539881,8.749441,-2.530179,-4.448956,1.698248,-0.0189,-1.951737,-1.951492,-3.222133,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.00413,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,0.001246,Tim31
-527.658447,104.028534,-7.881589,36.177666,6.155877,5.520551,-9.995448,3.303457,6.675479,3.509926,4.018016,1.384233,2.486753,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,-0.005367,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,0.000166,Tim31
-470.853943,103.282341,-6.309946,34.560566,5.247702,-1.720386,-8.505032,1.195704,1.639491,0.157337,1.097158,-0.390322,1.711733,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.004404,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,-0.001367,Tim31
-532.855225,104.891441,18.945644,42.398666,13.879449,-0.237866,-2.553605,-6.981604,-2.424864,1.023836,-5.429299,-1.367555,-1.911678,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,-0.002615,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,0.000605,Tim31
-564.898254,98.278992,21.903622,47.405895,14.956984,5.312678,-4.326231,-4.335178,0.422716,0.487939,-1.484005,-3.254134,-1.770549,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,0.002977,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,-0.000954,Tim31
-464.770294,109.498749,-2.253782,31.91246,2.340865,0.55886,-12.288899,-3.959969,0.672334,1.772921,1.181123,-0.92514,1.761902,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002189,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,-0.002368,Tim31
-520.434814,111.536613,-4.236074,33.087971,4.584956,7.052065,-8.586008,-0.45711,6.316299,3.127251,4.069044,1.17418,1.942912,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000095,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,-0.000308,Tim31
-609.07074,89.951141,33.713486,54.238842,19.490559,10.119866,-6.133771,0.659458,2.671892,-1.76692,0.072198,-1.710656,-4.345189,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,-0.000779,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,Tim31
-515.410156,85.715538,17.709305,44.002556,12.597308,4.603996,-7.054103,-6.354662,3.999101,-0.414801,-0.199691,0.774577,-1.640657,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.001372,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,-0.003135,Tim31
-558.98175,91.085617,20.872129,47.468918,13.832989,5.040131,-4.970652,-5.306889,-0.869994,-0.673628,-1.856693,-3.169026,-0.881813,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,0.000499,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,-0.002378,Tim31
-463.549194,101.317268,-5.396265,24.206379,2.507199,0.494243,-9.421082,-3.937468,0.473891,2.15371,2.870519,-1.432656,1.451211,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.00113,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,0.001276,Tim31
-506.39563,89.919113,16.227001,39.411175,6.607008,1.125173,-5.62185,-9.250793,-7.470395,-3.783021,-1.850285,-6.20893,-3.210363,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,-0.00208,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,0.003813,Tim31
-543.840759,98.500656,25.776606,39.691845,13.753291,4.298238,-3.891469,-5.262202,-2.835181,-0.964543,-4.509056,-2.379564,-1.488198,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,0.000544,Tim31
-513.965881,97.29113,2.321073,36.004593,5.147187,2.065082,-7.929649,-0.243561,4.409419,-0.112667,1.644837,1.055658,-0.129608,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,0.005417,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,-0.001251,Tim31
-553.297729,105.470345,16.926805,42.458046,22.003054,6.527911,-7.306256,1.713143,-2.655547,-5.349535,-0.478017,-3.367806,-0.621719,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,0.00117,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,-0.001374,Tim31
-499.691895,105.291931,-4.828995,34.313328,3.389353,3.49044,-8.329201,-1.415223,7.597516,3.012257,3.136038,2.17999,0.098624,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,0.002718,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,-0.001467,Tim31
-509.510742,87.413834,4.885822,33.070423,7.184383,5.173766,-7.194154,-0.531654,0.378056,3.451575,2.420238,-2.368208,2.500055,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.00024,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,-0.0019,Tim31
-580.934387,100.036232,28.219856,46.21278,19.2362,6.8729,-2.198352,-0.899211,-4.092605,-1.329123,-3.262206,-4.040046,-1.401335,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,0.003403,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,-0.000878,Tim31
